from_phoneme,to_phoneme,from_image,to_image,from_landmarks,to_landmarks,anatomy,transition_type,min_frames,max_frames,recommended_frames,real_anatomical_distance,total_distance,point_count,morphing_difficulty,point_1_name,point_2_name,point_3_name,point_4_name,point_5_name,point_6_name,point_7_name,point_8_name,point_9_name,point_10_name,point_11_name,point_12_name,point_13_name,point_14_name,point_15_name,point_16_name,point_17_name,point_18_name,point_19_name,point_20_name,point_21_name,point_22_name,point_1_distance,point_2_distance,point_3_distance,point_4_distance,point_5_distance,point_6_distance,point_7_distance,point_8_distance,point_9_distance,point_10_distance,point_11_distance,point_12_distance,point_13_distance,point_14_distance,point_15_distance,point_16_distance,point_17_distance,point_18_distance,point_19_distance,point_20_distance,point_21_distance,point_22_distance
ㅏ_입,ㅔ_입,A.png,E.png,A_mouth_landmarks.json,E_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,13.31,292.82,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,16.12,3.61,5.0,11.4,20.12,18.79,16.55,17.89,14.32,12.0,7.28,12.81,13.0,9.22,12.04,15.65,15.26,13.15,15.13,16.16,15.23,12.08
ㅏ_입,ㅐ_입,A.png,E.png,A_mouth_landmarks.json,E_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,13.31,292.82,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,16.12,3.61,5.0,11.4,20.12,18.79,16.55,17.89,14.32,12.0,7.28,12.81,13.0,9.22,12.04,15.65,15.26,13.15,15.13,16.16,15.23,12.08
ㅏ_입,ㅓ_입,A.png,EO.png,A_mouth_landmarks.json,EO_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,25.31,556.86,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,22.8,32.53,27.02,24.08,28.28,21.93,19.1,22.47,23.77,30.87,32.2,26.08,35.51,33.14,30.41,24.6,16.4,13.6,18.44,18.87,24.33,30.41
ㅏ_입,ㅣ_입,A.png,II.png,A_mouth_landmarks.json,II_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,17.23,379.0,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,21.47,5.83,11.4,18.44,21.02,20.02,21.1,24.76,20.0,21.26,16.12,18.68,6.71,8.25,14.14,19.24,21.1,21.02,22.09,23.26,12.65,10.44
ㅏ_입,ㅡ_입,A.png,EU.png,A_mouth_landmarks.json,EU_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,19.01,418.26,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,15.0,19.24,22.02,23.09,26.48,21.02,19.65,22.36,22.02,24.02,20.22,14.14,8.06,14.56,21.1,25.5,25.55,22.47,21.38,18.97,7.28,4.12
ㅏ_입,ㅗ_입,A.png,OO.png,A_mouth_landmarks.json,OO_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,35.12,772.56,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,31.78,38.01,39.2,39.82,38.83,31.3,26.93,30.0,30.46,33.84,31.14,30.68,35.06,34.54,37.54,40.31,37.85,37.22,38.63,39.12,36.06,34.23
ㅏ_입,ㅜ_입,A.png,UU.png,A_mouth_landmarks.json,UU_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,29.35,645.72,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,19.03,25.63,26.93,26.17,25.55,19.24,16.55,19.1,21.02,25.0,23.32,23.09,32.02,34.99,40.46,45.62,43.57,44.01,43.19,39.05,30.23,21.95
ㅏ_입,ㅟ_입,A.png,WW-W.png,A_mouth_landmarks.json,WW-W_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,23.65,520.3,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,8.06,20.59,22.2,23.35,26.17,21.26,15.65,16.28,18.68,21.47,19.1,11.4,12.53,21.26,29.15,35.51,37.05,34.93,38.48,36.24,29.73,21.19
ㅏ_입,ㅚ_입,A.png,WW-W.png,A_mouth_landmarks.json,WW-W_mouth_landmarks.json,mouth,vowel_to_vowel,10,15,15,23.65,520.3,22,easy,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,8.06,20.59,22.2,23.35,26.17,21.26,15.65,16.28,18.68,21.47,19.1,11.4,12.53,21.26,29.15,35.51,37.05,34.93,38.48,36.24,29.73,21.19
ㅏ_입,ㅈ_입,A.png,PM.png,A_mouth_landmarks.json,PM_mouth_landmarks.json,mouth,vowel_to_consonant,12,18,18,27.14,597.05,22,medium,Left_Corner_1,Upper_1,Upper_2,Upper_3,Upper_4,Upper_5,Upper_6,Upper_7,Upper_8,Upper_9,Upper_10,Right_Corner_1,Lower_1,Lower_2,Lower_3,Lower_4,Lower_5,Lower_6,Lower_7,Lower_8,Lower_9,Lower_10,10.44,8.0,16.49,23.19,31.06,32.14,31.05,31.02,25.71,25.0,22.63,12.17,9.49,23.35,35.0,42.06,42.49,46.52,46.24,41.23,27.86,13.93
