from_phoneme,to_phoneme,from_image,to_image,from_landmarks,to_landmarks,anatomy,transition_type,min_frames,max_frames,recommended_frames,real_anatomical_distance,total_distance,point_count,morphing_difficulty,point_1_name,point_2_name,point_3_name,point_4_name,point_5_name,point_6_name,point_7_name,point_8_name,point_9_name,point_10_name,point_11_name,point_12_name,point_13_name,point_14_name,point_15_name,point_16_name,point_17_name,point_18_name,point_19_name,point_20_name,point_21_name,point_1_distance,point_2_distance,point_3_distance,point_4_distance,point_5_distance,point_6_distance,point_7_distance,point_8_distance,point_9_distance,point_10_distance,point_11_distance,point_12_distance,point_13_distance,point_14_distance,point_15_distance,point_16_distance,point_17_distance,point_18_distance,point_19_distance,point_20_distance,point_21_distance
ㅏ_혀,ㅔ_혀,aa.png,ee.png,aa_manual_landmarks.json,ee_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,36.75,771.71,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,32.56,31.14,38.95,41.87,41.87,38.21,31.38,19.65,12.53,23.32,28.6,31.76,31.89,24.17,50.49,42.76,50.8,54.08,49.34,49.04,47.3
ㅏ_혀,ㅐ_혀,aa.png,ee.png,aa_manual_landmarks.json,ee_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,36.75,771.71,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,32.56,31.14,38.95,41.87,41.87,38.21,31.38,19.65,12.53,23.32,28.6,31.76,31.89,24.17,50.49,42.76,50.8,54.08,49.34,49.04,47.3
ㅏ_혀,ㅓ_혀,aa.png,eo-oo.png,aa_manual_landmarks.json,eo-oo_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,24.02,504.41,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,32.39,34.53,36.35,35.0,35.06,29.15,18.44,14.14,17.26,12.53,8.6,7.28,10.77,4.47,38.33,25.0,31.62,19.31,28.3,36.72,29.15
ㅏ_혀,ㅣ_혀,aa.png,iiJ.png,aa_manual_landmarks.json,iiJ_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,43.14,906.04,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,39.05,37.2,40.22,46.4,49.58,53.04,56.22,48.41,42.52,40.71,37.22,35.81,43.19,44.6,48.09,35.13,38.05,39.56,37.44,51.08,42.52
ㅏ_혀,ㅡ_혀,aa.png,eui-uuW.png,aa_manual_landmarks.json,eui-uuW_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,23.95,502.99,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,26.68,23.02,32.57,30.36,27.86,26.93,19.42,15.81,14.56,10.77,7.21,8.25,11.7,13.42,50.49,39.29,41.15,25.18,20.59,30.41,27.31
ㅏ_혀,ㅗ_혀,aa.png,eo-oo.png,aa_manual_landmarks.json,eo-oo_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,24.02,504.41,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,32.39,34.53,36.35,35.0,35.06,29.15,18.44,14.14,17.26,12.53,8.6,7.28,10.77,4.47,38.33,25.0,31.62,19.31,28.3,36.72,29.15
ㅏ_혀,ㅜ_혀,aa.png,eui-uuW.png,aa_manual_landmarks.json,eui-uuW_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,23.95,502.99,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,26.68,23.02,32.57,30.36,27.86,26.93,19.42,15.81,14.56,10.77,7.21,8.25,11.7,13.42,50.49,39.29,41.15,25.18,20.59,30.41,27.31
ㅏ_혀,ㅟ_혀,aa.png,iiJ.png,aa_manual_landmarks.json,iiJ_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,43.14,906.04,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,39.05,37.2,40.22,46.4,49.58,53.04,56.22,48.41,42.52,40.71,37.22,35.81,43.19,44.6,48.09,35.13,38.05,39.56,37.44,51.08,42.52
ㅏ_혀,ㅚ_혀,aa.png,ee.png,aa_manual_landmarks.json,ee_manual_landmarks.json,tongue,vowel_to_vowel,10,15,15,36.75,771.71,21,easy,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,32.56,31.14,38.95,41.87,41.87,38.21,31.38,19.65,12.53,23.32,28.6,31.76,31.89,24.17,50.49,42.76,50.8,54.08,49.34,49.04,47.3
ㅏ_혀,ㅈ_혀,aa.png,J.png,aa_manual_landmarks.json,J_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,50.19,1053.96,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,30.02,32.2,34.0,43.08,43.08,36.67,36.88,34.67,41.23,53.34,58.52,62.59,63.15,61.0,51.24,54.42,76.16,75.93,64.5,53.01,48.26
ㅏ_혀,ㅉ_혀,aa.png,J.png,aa_manual_landmarks.json,J_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,50.19,1053.96,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,30.02,32.2,34.0,43.08,43.08,36.67,36.88,34.67,41.23,53.34,58.52,62.59,63.15,61.0,51.24,54.42,76.16,75.93,64.5,53.01,48.26
ㅏ_혀,ㅊ_혀,aa.png,J.png,aa_manual_landmarks.json,J_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,50.19,1053.96,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,30.02,32.2,34.0,43.08,43.08,36.67,36.88,34.67,41.23,53.34,58.52,62.59,63.15,61.0,51.24,54.42,76.16,75.93,64.5,53.01,48.26
ㅏ_혀,ㄱ_혀,aa.png,KNG.png,aa_manual_landmarks.json,KNG_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,37.41,785.56,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,17.46,16.16,17.09,28.16,34.18,35.69,32.02,19.85,13.0,26.31,37.11,46.65,58.52,71.17,75.93,72.8,76.54,57.08,32.56,15.3,2.0
ㅏ_혀,ㄲ_혀,aa.png,KNG.png,aa_manual_landmarks.json,KNG_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,37.41,785.56,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,17.46,16.16,17.09,28.16,34.18,35.69,32.02,19.85,13.0,26.31,37.11,46.65,58.52,71.17,75.93,72.8,76.54,57.08,32.56,15.3,2.0
ㅏ_혀,ㅋ_혀,aa.png,KNG.png,aa_manual_landmarks.json,KNG_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,37.41,785.56,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,17.46,16.16,17.09,28.16,34.18,35.69,32.02,19.85,13.0,26.31,37.11,46.65,58.52,71.17,75.93,72.8,76.54,57.08,32.56,15.3,2.0
ㅏ_혀,ㅇ_혀,aa.png,KNG.png,aa_manual_landmarks.json,KNG_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,37.41,785.56,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,17.46,16.16,17.09,28.16,34.18,35.69,32.02,19.85,13.0,26.31,37.11,46.65,58.52,71.17,75.93,72.8,76.54,57.08,32.56,15.3,2.0
ㅏ_혀,ㄹ_혀,aa.png,L.png,aa_manual_landmarks.json,L_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,45.11,947.23,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,55.15,27.86,10.63,9.49,17.03,23.02,27.66,32.2,39.41,42.64,41.11,45.22,41.15,40.16,46.17,63.51,93.15,88.26,71.7,67.19,64.54
ㅏ_혀,ㅁ_혀,aa.png,PM2.png,aa_manual_landmarks.json,PM2_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,32.25,677.15,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,29.55,16.4,5.1,7.0,8.06,14.32,18.38,34.48,48.88,55.32,52.01,58.14,57.01,49.82,46.62,37.59,29.68,32.57,25.18,23.54,27.51
ㅏ_혀,ㅂ_혀,aa.png,PM2.png,aa_manual_landmarks.json,PM2_manual_landmarks.json,tongue,vowel_to_consonant,12,18,18,32.25,677.15,21,medium,Tongue_Tip,Superior_1,Superior_2,Superior_3,Superior_4,Superior_5,Superior_6,Superior_7,Superior_8,Superior_9,Superior_10,Posterior_1,Posterior_2,Posterior_3,Posterior_4,Posterior_5,Inferior_1,Inferior_2,Inferior_3,Inferior_4,Inferior_5,29.55,16.4,5.1,7.0,8.06,14.32,18.38,34.48,48.88,55.32,52.01,58.14,57.01,49.82,46.62,37.59,29.68,32.57,25.18,23.54,27.51
