from_phoneme,to_phoneme,anatomy,point_name,from_x,from_y,to_x,to_y,distance
ㅏ_입,ㅔ_입,mouth,Left_Corner_1,26,63,18,49,16.12
ㅏ_입,ㅔ_입,mouth,Upper_1,31,53,33,50,3.61
ㅏ_입,ㅔ_입,mouth,Upper_2,42,46,45,50,5.0
ㅏ_입,ㅔ_입,mouth,Upper_3,57,39,60,50,11.4
ㅏ_입,ㅔ_입,mouth,Upper_4,70,34,79,52,20.12
ㅏ_입,ㅔ_입,mouth,Upper_5,86,36,94,53,18.79
ㅏ_입,ㅔ_입,mouth,Upper_6,100,38,107,53,16.55
ㅏ_입,ㅔ_입,mouth,Upper_7,114,36,122,52,17.89
ㅏ_입,ㅔ_입,mouth,Upper_8,134,38,137,52,14.32
ㅏ_입,ㅔ_입,mouth,Upper_9,150,40,150,52,12.0
ㅏ_입,ㅔ_입,mouth,Upper_10,162,48,169,50,7.28
ㅏ_입,ㅔ_입,mouth,Right_Corner_1,177,60,185,50,12.81
ㅏ_입,ㅔ_입,mouth,Lower_1,172,76,177,64,13.0
ㅏ_입,ㅔ_입,mouth,Lower_2,163,86,161,77,9.22
ㅏ_입,ㅔ_입,mouth,Lower_3,151,99,143,90,12.04
ㅏ_입,ㅔ_입,mouth,Lower_4,135,109,128,95,15.65
ㅏ_입,ㅔ_입,mouth,Lower_5,115,111,107,98,15.26
ㅏ_입,ㅔ_입,mouth,Lower_6,97,111,95,98,13.15
ㅏ_입,ㅔ_입,mouth,Lower_7,79,110,77,95,15.13
ㅏ_입,ㅔ_입,mouth,Lower_8,65,105,59,90,16.16
ㅏ_입,ㅔ_입,mouth,Lower_9,47,92,41,78,15.23
ㅏ_입,ㅔ_입,mouth,Lower_10,33,77,28,66,12.08
ㅏ_입,ㅐ_입,mouth,Left_Corner_1,26,63,18,49,16.12
ㅏ_입,ㅐ_입,mouth,Upper_1,31,53,33,50,3.61
ㅏ_입,ㅐ_입,mouth,Upper_2,42,46,45,50,5.0
ㅏ_입,ㅐ_입,mouth,Upper_3,57,39,60,50,11.4
ㅏ_입,ㅐ_입,mouth,Upper_4,70,34,79,52,20.12
ㅏ_입,ㅐ_입,mouth,Upper_5,86,36,94,53,18.79
ㅏ_입,ㅐ_입,mouth,Upper_6,100,38,107,53,16.55
