from_phoneme,to_phoneme,anatomy,point_name,from_x,from_y,to_x,to_y,distance
ㅏ_혀,ㅔ_혀,tongue,Tongue_Tip,70,118,46,96,32.56
ㅏ_혀,ㅔ_혀,tongue,Superior_1,73,101,52,78,31.14
ㅏ_혀,ㅔ_혀,tongue,Superior_2,88,93,62,64,38.95
ㅏ_혀,ㅔ_혀,tongue,Superior_3,109,83,77,56,41.87
ㅏ_혀,ㅔ_혀,tongue,Superior_4,131,74,99,47,41.87
ㅏ_혀,ㅔ_혀,tongue,Superior_5,149,66,121,40,38.21
ㅏ_혀,ㅔ_혀,tongue,Superior_6,172,54,145,38,31.38
ㅏ_혀,ㅔ_혀,tongue,Superior_7,188,44,169,39,19.65
ㅏ_혀,ㅔ_혀,tongue,Superior_8,205,36,194,42,12.53
ㅏ_혀,ㅔ_혀,tongue,Superior_9,229,30,217,50,23.32
ㅏ_혀,ㅔ_혀,tongue,Superior_10,255,34,238,57,28.6
ㅏ_혀,ㅔ_혀,tongue,Posterior_1,276,42,261,70,31.76
ㅏ_혀,ㅔ_혀,tongue,Posterior_2,297,58,276,82,31.89
ㅏ_혀,ㅔ_혀,tongue,Posterior_3,306,80,296,102,24.17
ㅏ_혀,ㅔ_혀,tongue,Posterior_4,201,145,151,152,50.49
ㅏ_혀,ㅔ_혀,tongue,Posterior_5,201,123,159,131,42.76
ㅏ_혀,ㅔ_혀,tongue,Inferior_1,203,98,153,107,50.8
ㅏ_혀,ㅔ_혀,tongue,Inferior_2,185,106,131,103,54.08
ㅏ_혀,ㅔ_혀,tongue,Inferior_3,156,116,109,101,49.34
ㅏ_혀,ㅔ_혀,tongue,Inferior_4,131,124,85,107,49.04
ㅏ_혀,ㅔ_혀,tongue,Inferior_5,103,125,57,114,47.3
ㅏ_혀,ㅐ_혀,tongue,Tongue_Tip,70,118,46,96,32.56
ㅏ_혀,ㅐ_혀,tongue,Superior_1,73,101,52,78,31.14
ㅏ_혀,ㅐ_혀,tongue,Superior_2,88,93,62,64,38.95
ㅏ_혀,ㅐ_혀,tongue,Superior_3,109,83,77,56,41.87
ㅏ_혀,ㅐ_혀,tongue,Superior_4,131,74,99,47,41.87
ㅏ_혀,ㅐ_혀,tongue,Superior_5,149,66,121,40,38.21
ㅏ_혀,ㅐ_혀,tongue,Superior_6,172,54,145,38,31.38
ㅏ_혀,ㅐ_혀,tongue,Superior_7,188,44,169,39,19.65
ㅏ_혀,ㅐ_혀,tongue,Superior_8,205,36,194,42,12.53
ㅏ_혀,ㅐ_혀,tongue,Superior_9,229,30,217,50,23.32
ㅏ_혀,ㅐ_혀,tongue,Superior_10,255,34,238,57,28.6
ㅏ_혀,ㅐ_혀,tongue,Posterior_1,276,42,261,70,31.76
ㅏ_혀,ㅐ_혀,tongue,Posterior_2,297,58,276,82,31.89
ㅏ_혀,ㅐ_혀,tongue,Posterior_3,306,80,296,102,24.17
ㅏ_혀,ㅐ_혀,tongue,Posterior_4,201,145,151,152,50.49
ㅏ_혀,ㅐ_혀,tongue,Posterior_5,201,123,159,131,42.76
ㅏ_혀,ㅐ_혀,tongue,Inferior_1,203,98,153,107,50.8
ㅏ_혀,ㅐ_혀,tongue,Inferior_2,185,106,131,103,54.08
ㅏ_혀,ㅐ_혀,tongue,Inferior_3,156,116,109,101,49.34
ㅏ_혀,ㅐ_혀,tongue,Inferior_4,131,124,85,107,49.04
